,Player,FG,FGA,XPT,FPTS
0,Harrison ButkerKC,1.9,2.2,2.7,8.4
1,Randy BullockTEN,1.9,2.3,2.6,8.4
2,Ryan SuccopTB,1.8,2.1,2.8,8.2
3,Mason CrosbyGB,1.7,2.1,2.9,8.2
4,Robbie GouldSF,1.8,2.2,2.6,8.0
5,Greg JosephMIN,1.9,2.2,2.2,7.9
6,Matt PraterARI,1.7,2.1,2.7,7.8
7,Dustin HopkinsLAC,1.8,2.1,2.5,7.8
8,Brandon McManusDEN,1.7,2.1,2.6,7.7
9,Greg ZuerleinDAL,1.6,2.0,2.8,7.5
10,Chris BoswellPIT,1.7,1.9,2.3,7.3
11,Joey SlyeWAS,1.6,1.9,2.3,7.2
12,Jason MyersSEA,1.6,1.9,2.4,7.1
13,Matt GayLAR,1.6,1.9,2.3,7.1
14,Evan McPhersonCIN,1.6,1.9,2.2,7.0
15,Tyler BassBUF,1.5,1.9,2.4,7.0
16,Daniel CarlsonLV,1.7,1.9,1.9,6.9
17,Chase McLaughlinCLE,1.6,1.9,2.0,6.9
18,Justin TuckerBAL,1.6,1.8,2.1,6.9
19,Brian JohnsonWAS,1.6,1.8,2.1,6.8
20,Brett MaherNO,1.4,1.8,2.3,6.6
21,Younghoe KooATL,1.5,1.7,2.0,6.5
22,Eddy PineiroNYJ,1.6,1.9,1.7,6.5
23,Alex KessmanCAR,1.5,1.8,1.8,6.3
24,Graham GanoNYG,1.5,1.8,1.7,6.2
25,Ka'imi FairbairnHOU,1.5,1.8,1.6,6.1
26,Cairo SantosCHI,1.4,1.6,1.6,5.7
27,Matthew WrightJAC,1.4,1.6,1.4,5.5
28,Riley PattersonDET,1.3,1.4,1.4,5.2
